srcLat,srcLon,targetLat,targetLon,value,Destination,Source
40.498606,-3.341905,38.095388,-122.558233,135,,
49.256774,1.185913,38.095388,-122.558233,19,,
49.256774,1.185913,38.095388,-122.558233,"7,615",,
49.256774,1.185913,42.069342,-88.348366,199,,
49.256774,1.185913,42.076355,-88.199232,"27,724",,
41.692178,12.59133,44.466247,-88.100807,"7,796",,
56.055854,12.703039,41.889432,-87.622929,"30,553",,
56.055854,12.703039,41.889432,-87.622929,"37,563",,
56.055854,12.703039,41.889432,-87.622929,"37,563",,
56.055854,12.703039,41.889432,-87.622929,"37,563",,
56.055854,12.703039,41.889432,-87.622929,"39,442",,
56.055854,12.703039,41.889432,-87.622929,"45,076",,
56.055854,12.703039,41.889432,-87.622929,"46,167",,
56.055854,12.703039,41.889432,-87.622929,"54,467",,
56.055854,12.703039,41.889432,-87.622929,"56,345",,
56.055854,12.703039,41.889432,-87.622929,"63,858",,
56.055854,12.703039,41.889432,-87.622929,"66,332",,
56.055854,12.703039,41.889432,-87.622929,"73,553",,
41.692178,12.59133,31.583221,-81.912083,"6,793",,
38.066168,23.512874,39.921175,-75.145897,"5,215",,
49.256774,1.185913,39.921175,-75.145897,755,,
49.256774,1.185913,40.770171,-74.50356,1,,
49.256774,1.185913,40.770171,-74.50356,1,,
49.256774,1.185913,40.770171,-74.50356,13,,
49.256774,1.185913,40.770171,-74.50356,15,,
49.256774,1.185913,40.770171,-74.50356,21,,
49.256774,1.185913,40.770171,-74.50356,48,,
-32.962753,27.834764,40.855121,-74.414354,"57,604",,
-32.962753,27.834764,40.855121,-74.414354,"77,167",,
24.988028,55.190533,40.855121,-74.414354,"24,485",,
24.988028,55.190533,40.855121,-74.414354,"372,151",,
30.098749,31.373572,40.855121,-74.414354,124,,
30.098749,31.373572,40.855121,-74.414354,"1,249",,
30.098749,31.373572,40.855121,-74.414354,"12,143",,
30.098749,31.373572,40.855121,-74.414354,"243,151",,
41.692178,12.59133,40.855121,-74.414354,98,,
41.692178,12.59133,40.855121,-74.414354,"2,279,804",,
49.256774,1.185913,40.855121,-74.414354,61,,
49.256774,1.185913,40.855121,-74.414354,67,,
49.256774,1.185913,40.855121,-74.414354,92,,
49.256774,1.185913,40.855121,-74.414354,99,,
49.256774,1.185913,40.855121,-74.414354,140,,
49.256774,1.185913,40.855121,-74.414354,150,,
49.256774,1.185913,40.855121,-74.414354,275,,
49.256774,1.185913,40.855121,-74.414354,561,,
49.256774,1.185913,40.855121,-74.414354,666,,
49.256774,1.185913,40.855121,-74.414354,"1,285",,
49.256774,1.185913,40.855121,-74.414354,"3,104",,
49.256774,1.185913,40.855121,-74.414354,"5,795",,
49.256774,1.185913,40.855121,-74.414354,"7,453",,
49.256774,1.185913,40.855121,-74.414354,"9,936",,
49.256774,1.185913,40.855121,-74.414354,"15,339",,
49.256774,1.185913,40.855121,-74.414354,"55,138",,
49.256774,1.185913,40.855121,-74.414354,"59,109",,
49.256774,1.185913,40.872624,-74.006218,46,,
40.498606,-3.341905,18.441598,-69.980262,"84,043",,
40.498606,-3.341905,18.441598,-69.980262,"133,762",,
40.498606,-3.341905,18.441598,-69.980262,"243,749",,
40.498606,-3.341905,38.712509,-9.309452,"6,075",,
40.498606,-3.341905,42.593658,-8.758144,"3,352",,
40.498606,-3.341905,53.373175,-6.286713,"9,471",,
40.498606,-3.341905,53.373175,-6.286713,"48,557",,
40.498606,-3.341905,53.373175,-6.286713,"58,179",,
40.498606,-3.341905,53.373175,-6.286713,"82,716",,
40.498606,-3.341905,53.373175,-6.286713,"118,375",,
40.498606,-3.341905,53.373175,-6.286713,"163,548",,
40.498606,-3.341905,53.373175,-6.286713,"193,923",,
40.498606,-3.341905,53.373175,-6.286713,"345,996",,
40.498606,-3.341905,53.373175,-6.286713,"366,027",,
40.498606,-3.341905,53.373175,-6.286713,"505,043",,
40.498606,-3.341905,53.373175,-6.286713,"637,216",,
40.498606,-3.341905,53.373175,-6.286713,"679,821",,
40.498606,-3.341905,53.373175,-6.286713,"774,155",,
40.498606,-3.341905,53.373175,-6.286713,"982,242",,
40.498606,-3.341905,53.373175,-6.286713,"5,861,095",,
40.498606,-3.341905,43.333273,-4.096276,"54,235",,
40.498606,-3.341905,43.333273,-4.096276,"137,622",,
40.498606,-3.341905,40.208026,-3.835127,"12,973",,
40.498606,-3.341905,40.208026,-3.835127,"22,221",,
40.498606,-3.341905,40.208026,-3.835127,"30,093",,
40.498606,-3.341905,40.208026,-3.835127,"48,557",,
40.498606,-3.341905,40.208026,-3.835127,"93,730",,
40.498606,-3.341905,40.208026,-3.835127,"118,375",,
40.498606,-3.341905,40.208026,-3.835127,"172,847",,
40.498606,-3.341905,40.208026,-3.835127,"290,061",,
40.498606,-3.341905,40.208026,-3.835127,"366,027",,
40.498606,-3.341905,40.208026,-3.835127,"505,043",,
40.498606,-3.341905,40.208026,-3.835127,"774,155",,
40.498606,-3.341905,40.208026,-3.835127,"4,669,998",,
40.498606,-3.341905,40.468162,-3.670592,"111,173",,
40.498606,-3.341905,40.468162,-3.670592,"488,201",,
40.498606,-3.341905,40.450877,-3.500775,"30,000",,
40.498606,-3.341905,40.450877,-3.500775,"163,548",,
40.498606,-3.341905,40.450877,-3.500775,"193,923",,
40.498606,-3.341905,40.450877,-3.500775,"345,996",,
40.498606,-3.341905,40.450877,-3.500775,"637,216",,
40.498606,-3.341905,40.450877,-3.500775,"750,371",,
40.498606,-3.341905,40.450877,-3.500775,"753,953",,
40.498606,-3.341905,40.450877,-3.500775,"982,242",,
40.498606,-3.341905,40.450877,-3.500775,"1,461,110",,
40.498606,-3.341905,40.450877,-3.500775,"1,469,438",,
48.705668,3.733797,43.193777,-2.898869,332,,
48.705668,3.733797,43.193777,-2.898869,"1,434",,
48.705668,3.733797,43.193777,-2.898869,"1,901",,
48.705668,3.733797,43.193777,-2.898869,"3,515",,
48.705668,3.733797,43.193777,-2.898869,"5,075",,
48.705668,3.733797,43.193777,-2.898869,"6,881",,
30.098749,31.373572,53.351838,-2.766365,"1,557",,
59.542261,30.89711,53.556205,-2.673944,"1,470,716",,
-34.068302,18.458813,51.457061,-2.474979,30,,
-34.068302,18.458813,51.457061,-2.474979,72,,
-34.068302,18.458813,51.457061,-2.474979,112,,
-34.068302,18.458813,51.457061,-2.474979,194,,
-34.068302,18.458813,51.457061,-2.474979,243,,
-34.068302,18.458813,51.457061,-2.474979,405,,
40.498606,-3.341905,52.677529,-2.123266,621,,
-32.962753,27.834764,43.211226,-2.035334,"66,609",,
-32.962753,27.834764,43.211226,-2.035334,"317,283",,
-32.962753,27.834764,43.211226,-2.035334,"458,490",,
